Date Time,Open,High,Low,Close,Volume
2017-04-06 00:00:00,11.65,11.7,11.55,11.65, 7718
2017-04-07 00:00:00,11.65,11.75,11.5,11.65, 13852
2017-04-10 00:00:00,11.8,12.05,11.7,11.8, 28737
2017-04-11 00:00:00,11.9,12.2,11.75,12.15, 58317
2017-04-12 00:00:00,12.1,12.15,11.85,11.9, 29702
2017-04-13 00:00:00,11.9,12.15,11.85,11.9, 33136
2017-04-14 00:00:00,11.9,11.9,11.55,11.6, 28999
2017-04-17 00:00:00,12.05,12.05,11.7,11.75, 25046
2017-04-18 00:00:00,11.85,11.9,11.7,11.75, 12142
2017-04-19 00:00:00,11.7,11.7,11.55,11.6, 12825
2017-04-20 00:00:00,11.55,11.65,11.3,11.4, 20520
2017-04-21 00:00:00,11.6,11.75,11.5,11.6, 15367
2017-04-24 00:00:00,11.6,11.7,11.25,11.35, 16556
2017-04-25 00:00:00,11.35,11.5,11.3,11.5, 9376
2017-04-26 00:00:00,11.55,11.6,11.4,11.5, 10026
2017-04-27 00:00:00,11.5,11.5,11.3,11.4, 5805
2017-04-28 00:00:00,11.4,11.4,11.4,11.4, 21
2017-05-02 00:00:00,11.45,11.5,11.35,11.35, 5421
2017-05-03 00:00:00,11.4,11.45,11.25,11.25, 7949
2017-05-04 00:00:00,11.3,11.35,11.1,11.15, 11765
2017-05-05 00:00:00,11.05,11.1,10.65,10.65, 42583
2017-05-08 00:00:00,10.35,10.35,10.35,10.35, 40
2017-05-09 00:00:00,10.55,10.7,10.35,10.35, 10057
2017-05-10 00:00:00,10.3,10.85,10.3,10.75, 15622
2017-05-11 00:00:00,10.8,10.85,10.6,10.7, 9289
2017-05-12 00:00:00,10.7,11.0,10.65,10.85, 19212
2017-05-15 00:00:00,10.85,10.95,10.8,10.95, 11881
2017-05-16 00:00:00,11.35,11.45,11.2,11.3, 47601
2017-05-17 00:00:00,11.35,11.35,11.35,11.35, 33
2017-05-18 00:00:00,11.05,11.25,11.05,11.15, 9105
2017-05-19 00:00:00,11.2,11.3,11.15,11.2, 6727
2017-05-22 00:00:00,11.35,11.5,11.3,11.35, 15546
2017-05-23 00:00:00,11.45,11.45,11.3,11.35, 8124
2017-05-24 00:00:00,11.4,11.4,11.3,11.4, 5906
2017-05-25 00:00:00,11.4,11.55,11.35,11.45, 17713
2017-05-26 00:00:00,11.45,11.45,11.3,11.4, 14488
2017-05-31 00:00:00,11.4,11.45,11.3,11.3, 8165
2017-06-01 00:00:00,11.3,11.4,11.3,11.35, 6614
2017-06-02 00:00:00,11.4,11.5,11.3,11.35, 11338
2017-06-03 00:00:00,11.4,11.4,11.3,11.4, 4607
2017-06-05 00:00:00,11.4,11.4,11.3,11.35, 8716
2017-06-06 00:00:00,11.4,11.75,11.4,11.7, 41135
2017-06-07 00:00:00,11.6,11.65,11.45,11.45, 17672
2017-06-08 00:00:00,11.45,11.6,11.4,11.45, 8764
2017-06-09 00:00:00,11.45,11.5,11.25,11.3, 12099
2017-06-12 00:00:00,11.3,11.45,11.25,11.4, 8462
2017-06-13 00:00:00,11.4,11.5,11.35,11.4, 4435
2017-06-14 00:00:00,11.4,11.5,11.2,11.2, 12903
2017-06-15 00:00:00,11.25,11.35,11.1,11.15, 6931
2017-06-16 00:00:00,11.15,11.25,11.15,11.25, 8264
2017-06-19 00:00:00,11.25,11.35,11.25,11.25, 4097
2017-06-20 00:00:00,11.3,11.35,11.1,11.15, 7672
2017-06-21 00:00:00,11.1,11.3,11.1,11.3, 11086
2017-06-22 00:00:00,11.35,11.35,11.15,11.2, 5447
2017-06-23 00:00:00,11.25,11.3,11.2,11.2, 3842
2017-06-26 00:00:00,11.25,11.3,11.15,11.3, 7684
2017-06-27 00:00:00,11.3,11.5,11.25,11.3, 18314
2017-06-28 00:00:00,11.3,11.6,11.25,11.55, 24117
2017-06-29 00:00:00,11.6,11.7,11.45,11.6, 16144
2017-06-30 00:00:00,11.5,11.65,11.4,11.65, 12535
2017-07-03 00:00:00,11.65,12.0,11.6,11.9, 39513
2017-07-04 00:00:00,11.9,11.95,11.7,11.7, 14236
2017-07-05 00:00:00,11.7,11.8,11.6,11.65, 10932
2017-07-06 00:00:00,11.7,11.75,11.6,11.7, 6941
2017-07-07 00:00:00,11.75,11.95,11.7,11.75, 18698
2017-07-10 00:00:00,11.8,11.9,11.75,11.85, 13917
2017-07-11 00:00:00,11.9,11.9,11.8,11.9, 10840
2017-07-12 00:00:00,12.0,12.45,12.0,12.4, 88200
2017-07-13 00:00:00,12.45,12.5,12.3,12.5, 48984
2017-07-14 00:00:00,12.5,12.8,12.5,12.5, 64864
2017-07-17 00:00:00,12.6,12.6,12.3,12.45, 26619
2017-07-18 00:00:00,12.6,12.65,12.45,12.55, 25656
2017-07-19 00:00:00,12.6,12.7,12.5,12.55, 35004
2017-07-20 00:00:00,12.7,12.9,12.65,12.75, 59292
2017-07-21 00:00:00,12.75,12.8,12.6,12.6, 17715
2017-07-24 00:00:00,12.6,12.6,12.3,12.4, 19232
2017-07-25 00:00:00,12.45,12.7,12.4,12.55, 27791
2017-07-26 00:00:00,12.6,12.7,12.4,12.4, 22809
2017-07-27 00:00:00,12.5,12.65,12.4,12.5, 33141
2017-07-28 00:00:00,12.5,12.7,12.45,12.5, 27656
2017-07-31 00:00:00,12.55,12.6,12.45,12.6, 12278
2017-08-01 00:00:00,12.6,12.9,12.6,12.9, 59927
2017-08-02 00:00:00,12.9,12.9,12.55,12.6, 33866
2017-08-03 00:00:00,12.65,12.65,12.45,12.5, 20608
2017-08-04 00:00:00,12.6,12.7,12.55,12.7, 21197
2017-08-07 00:00:00,12.75,12.8,12.65,12.7, 16458
2017-08-08 00:00:00,12.7,12.7,12.5,12.55, 12223
2017-08-09 00:00:00,12.55,12.6,12.3,12.3, 24151
2017-08-10 00:00:00,12.3,12.45,11.85,11.95, 35936
